aircraft_id,age_y,total_parking_minutes,metar_temperature_c,metar_relative_humidity,metar_dew_point_c,metar_wind_speed_kn,metar_visibility_mi,metar_hour_precipitation,sea_salt_aerosol_003_05_mixing_ratio,sea_salt_aerosol_05_5_mixing_ratio,sea_salt_aerosol_5_20_mixing_ratio,dust_aerosol_003_055_mixing_ratio,dust_aerosol_055_09_mixing_ratio,dust_aerosol_09_20_mixing_ratio,hydrophilic_organic_matter_aerosol_mixing_ratio,hydrophobic_organic_matter_aerosol_mixing_ratio,hydrophilic_black_carbon_aerosol_mixing_ratio,hydrophobic_black_carbon_aerosol_mixing_ratio,sulphate_aerosol_mixing_ratio,ethane,c3h8,isoprene,carbon_monoxide_mass_mixing_ratio,ozone_mass_mixing_ratio,h2o2,formaldehyde,hno3,nitrogen_monoxide_mass_mixing_ratio,nitrogen_dioxide_mass_mixing_ratio,oh,organic_nitrates,specific_humidity,sulphur_dioxide_mass_mixing_ratio,temperature
4b1b0a,5.916666666666667,28861.479437229435,11.85618468318968,80.05537960014712,8.098545494449167,7.607747992315061,5.766944342148647,0.0,1.7891358316857883e-10,1.5182086279961542e-08,6.673432815357734e-09,3.1439811870071636e-10,5.962431154481925e-10,6.517918174215888e-10,4.3797637599514776e-09,2.1063446225747187e-09,1.5745185473866022e-10,1.18963157730283e-10,1.0230967201827895e-09,5.280569025265546e-10,5.758036024249976e-10,6.63920428516938e-10,1.3690111490768882e-07,4.917645396674707e-08,2.891990911840648e-10,8.800237528941673e-10,7.35830326063322e-10,1.9168304742996068e-09,1.067898632698676e-08,2.43190925981483e-14,8.184078472585492e-10,0.007067645299858909,1.727133464958451e-09,284.93073585769685
4b3253,4.0000000000000755,32345.644086021504,21.328208111593906,77.86413593784309,16.788713365661057,5.579611036190387,5.774891630843115,0.0,6.641246917091522e-11,5.411195706317696e-09,1.7113727629094072e-09,1.3514521225201083e-10,2.124359874047044e-10,4.50855031947661e-11,1.9678104964104242e-08,1.4976148255413526e-08,4.5630572189736265e-10,8.847006656412545e-10,2.5242202577336944e-09,1.2194688002266317e-09,1.5774140560730042e-09,1.3124375196263615e-08,2.6995058246800275e-07,3.8948640322866207e-08,7.17235079099004e-10,3.9590823997159775e-09,8.09657390907366e-10,3.4758480397629086e-09,1.2159000157830726e-08,3.8042755992948206e-14,2.2734479372565014e-09,0.012535649140630305,1.0779564359853912e-08,294.2769805136289
4b387a,6.1666666666667425,29490.1071197411,27.322366329205646,80.35626633995052,23.407326951889118,3.7225067358639747,5.582872354039828,0.0,6.951607540864829e-11,5.505011860059965e-09,1.0582381311714675e-09,2.888774354197092e-10,4.80087073276451e-10,2.024634097677674e-10,2.6771951841340734e-08,1.8559927766918995e-08,5.656778637432597e-10,9.983790891035187e-10,5.359822295629844e-09,3.3553564337468754e-09,4.9406235964897045e-09,2.77609423551718e-08,4.001889951279258e-07,4.959729821405655e-08,1.5431459496830409e-09,8.895645227078699e-09,1.414676382726915e-09,4.722491034636902e-09,1.7165586705421373e-08,3.2498436727029985e-14,4.0586712291898766e-09,0.01748632103100714,8.208183390266917e-09,299.262543092284
4ba581,4.583333333333409,30561.642142857145,19.269800207268702,76.55553095085807,14.777958023018005,7.306912540250967,5.830857619382599,4.591393356514245e-05,7.450240792872528e-11,6.142775744874838e-09,2.765440062227734e-09,1.3965720734257254e-10,1.8694393419028593e-10,4.0652843566209565e-11,1.4996957966117208e-08,1.0243319621348377e-08,3.453590887841752e-10,5.689067757175878e-10,3.98504943312715e-09,7.77513824689873e-10,7.063275852685632e-10,6.259095379515868e-09,2.030548866428434e-07,3.6716483828491225e-08,3.992156540085991e-10,1.7566929597494267e-09,7.623212861512864e-10,1.5669285430330782e-09,8.793563318513434e-09,7.698505007230427e-14,1.74052654562248e-09,0.011004139557503729,9.831524966143301e-09,291.11478821214405
4bd4b6,2.749999999999924,27476.30299145299,9.760890387629283,79.41996552036919,5.916374323542324,8.166204742002302,5.760290379287792,0.0,9.459836517684506e-11,8.01456449413067e-09,3.2200845149888863e-09,2.069902162995545e-10,3.815412923010577e-10,3.4934154302160903e-10,3.744348165110781e-09,1.6178925322215463e-09,1.6367223874479495e-10,1.0903566037632912e-10,8.253324492989604e-10,5.593961165282213e-10,4.2771049462288257e-10,4.775865275902091e-10,1.3456197300591697e-07,5.6756959560341934e-08,2.6788668336772766e-10,8.602233881453937e-10,5.90566962925592e-10,5.770717184112867e-10,6.0862266358037974e-09,1.9817514585925094e-14,1.180899287868452e-09,0.006516269839547159,1.0687616790429375e-09,283.18119550261224
4e401f,4.8333333333332575,30688.244636015323,28.265275198692965,40.94255840243729,10.603623166195423,6.421087812070454,5.878527500515157,0.0,3.522762884277347e-11,2.783008401445739e-09,8.696266793366735e-10,9.51779697911797e-09,1.9869324254162782e-08,4.047589864319833e-08,8.063954114578088e-09,3.684068007252686e-09,2.1964892368256198e-10,1.5213455831133902e-10,7.451771821574546e-09,8.231184020738413e-10,3.6093271743546055e-09,7.404371140160342e-10,1.7234262578121427e-07,7.772258065922491e-08,1.3497732450519187e-09,3.909318633328805e-09,5.387013648945795e-09,1.6025467822473111e-09,1.5309047061015095e-08,8.974992097075562e-14,2.1855406572798107e-09,0.01013338097788769,2.3477793751247762e-08,300.51651990397966
4fb111,9.833333333333258,29966.71515151515,20.10249992658082,59.79836478046533,11.492867329426817,5.235810567911685,8.139245919564486,0.00038355866126040466,3.69465978051436e-11,2.9841351302130888e-09,8.671193031491547e-10,6.263157014933335e-10,1.0863361948652497e-09,4.546500311893142e-10,1.683391879054647e-08,1.2745690407735816e-08,3.286391008055807e-10,6.061754274929806e-10,3.201905902320945e-08,1.3313420336201084e-09,1.86332737974168e-09,1.9925780250683026e-08,2.8668397859117627e-07,4.524574409572361e-08,8.04397108387304e-10,3.8768928455337346e-09,1.0491684382947098e-09,7.923987358332024e-09,1.4113432697961123e-08,3.9853462211696785e-14,2.413496624017961e-09,0.010486960513726523,1.4594829270256018e-07,292.88871439095357
4fe318,2.833333333333409,30298.87037037037,23.31255022691168,81.4496347983831,19.703347198391086,9.788615527938582,5.705292168906118,0.0,1.6696620829766764e-10,1.3923908542588588e-08,9.553052231029341e-09,4.3747522036492177e-10,8.175780131345168e-10,6.394890868082615e-10,1.6119451333693178e-08,1.1101475360269196e-08,5.272177163761768e-10,9.40829454033504e-10,6.735659438643661e-09,1.7744923770060156e-09,1.0089622446820154e-09,3.1937034878872404e-09,2.652545978537209e-07,6.858069679977708e-08,9.605159472528249e-10,3.537836334425271e-09,4.269147946579521e-09,3.873427214869181e-09,2.067432477667543e-08,5.494905344024516e-14,3.5908535154421623e-09,0.01420910880866336,1.685216127163791e-08,294.77792136254607
5042cc,6.333333333333333,25988.418855218857,27.70759119251479,79.26863500778587,23.508695501018178,5.363379656271407,4.443130351464256,0.0,7.641776691435168e-11,6.0088205327529485e-09,9.622659800628026e-10,3.220610206077776e-10,5.344288549197733e-10,1.9264540576004361e-10,2.5061830287760943e-08,1.627599262974637e-08,4.100969294448412e-10,4.713097855936386e-10,9.75736170047148e-09,1.5713036253973816e-09,2.3642914503791795e-09,1.0466847648787408e-08,3.261531291135127e-07,6.366004120896708e-08,1.918923419488982e-09,6.153326810187921e-09,2.274598665196179e-09,6.944125945967543e-10,1.223075444325571e-08,5.13677723698944e-14,4.1251274225527905e-09,0.017441247756317002,1.702603754429995e-08,299.8782558273113
505a7f,4.9999999999999245,28151.50507246377,27.648780452231136,81.70964812293153,24.02767278109589,3.0839290486952233,5.618913449339592,0.0,7.55268218866437e-11,5.977782524404885e-09,1.1526697583070842e-09,2.454994758298397e-10,4.1215980489567703e-10,1.504848993800866e-10,1.6566206003029493e-08,1.0908322913049561e-08,3.453753388595219e-10,5.275008893449641e-10,3.907445649048571e-09,2.259754889385733e-09,3.346074550647804e-09,2.780836673606574e-08,2.7018860645169396e-07,4.525318370143342e-08,1.301111240346946e-09,7.1950295627829675e-09,6.331382814075146e-10,1.5763477215975164e-09,1.0909511440892201e-08,2.4283994540280382e-14,3.044980252037297e-09,0.018252241006900295,4.7411749310649395e-09,299.75903963558284
511908,6.166666666666591,30748.05285714286,16.326280962062974,75.24700052782802,11.361871772250796,7.846854132218041,5.99398499619043,0.0,1.7338571048599461e-10,1.4589243331465715e-08,7.01574750809127e-09,6.106959079750084e-10,1.1430850588721764e-09,1.0839734220830586e-09,3.5824483604422466e-09,1.82360991484763e-09,1.3799700840191573e-10,1.357058987791465e-10,1.4063852823353918e-09,5.070633500009918e-10,2.568878848287969e-10,1.4044730377308915e-09,1.2977321528197123e-07,5.522342378425756e-08,4.4521352196392925e-10,9.141232069533219e-10,1.204854720341573e-09,1.1692418565854187e-09,8.17143004915426e-09,3.487395768060113e-14,8.523838998011362e-10,0.008873017888516195,3.4608383095017324e-09,289.3287203128588
51b0a1,7.4999999999999245,27470.936524822693,16.256545496971732,69.38453868486629,9.733247279901626,7.359531660341808,5.921470088271789,0.0,5.737975544683698e-11,4.81021244780638e-09,2.117376373756509e-09,1.2069573508597805e-09,2.2182137445542237e-09,2.538329737476854e-09,6.062133217089033e-09,2.976963290180252e-09,1.6876838389207418e-10,1.1391096927676881e-10,2.550961720899894e-09,7.192655448937147e-10,7.450808435668152e-10,4.584369622013702e-09,1.5669306880866322e-07,5.189990465658177e-08,5.307553524264495e-10,1.5835760340459636e-09,8.941165180241981e-10,1.5881578783242116e-09,9.511202471481363e-09,2.7833358572207582e-14,1.3401138275079668e-09,0.008018893234088784,4.550603141020496e-09,288.7389488770551
523576,5.916666666666591,31351.406593406595,14.233680684546766,74.64123799180757,9.190583022550003,6.701875964933502,5.826181730839768,0.0,1.0149738588832959e-10,8.562655513199291e-09,3.7791985734379e-09,5.309757716327118e-10,9.767251731919857e-10,1.0142736467280027e-09,6.0709563362463674e-09,3.2147543478413295e-09,1.8273429946066937e-10,1.5909704750120944e-10,1.2309881361990915e-09,5.577328644827846e-10,4.1069955770876444e-10,1.936739037464884e-09,1.6152108169667405e-07,4.906473570075251e-08,3.7507895601423645e-10,1.1065788969067657e-09,9.723790725035e-10,2.3383481572527503e-09,1.0440526404015646e-08,2.7901195654734816e-14,1.1836980636993905e-09,0.007622880871296976,1.8367943510618232e-09,286.6038406586402
524cec,7.833333333333409,30732.98429118774,14.037638412263481,74.67978305807294,8.992012802457909,6.702576758628178,5.85231441492873,0.0,8.546632662561481e-11,7.208271183845678e-09,2.8685339630283315e-09,5.36880185479788e-10,1.0029891043108464e-09,9.932843340019144e-10,5.772529983689492e-09,3.0545309560173565e-09,1.7666779675184957e-10,1.6777617177612835e-10,1.2755617193935195e-09,5.598522130310428e-10,3.813168739033429e-10,2.099484178036287e-09,1.5794230106931067e-07,4.974919405843177e-08,3.893247133390632e-10,1.142651586465772e-09,9.912816537625423e-10,1.841969540278793e-09,9.852490073095681e-09,2.820985364178167e-14,1.2249946342701244e-09,0.007644692844383331,1.9498950999522458e-09,286.5314024718732
529397,5.9166666666667425,30269.722659176034,16.05190534516711,71.84947031169284,11.678124259448161,8.77993247490925,6.641578334070926,0.002807523045825758,2.1014837399844909e-10,1.7656779141207145e-08,8.8115234977319e-09,3.640656720877655e-10,6.695845285201511e-10,6.16267842049877e-10,3.3476647625963935e-09,1.5182142749213965e-09,1.2871528093802138e-10,9.269362917687087e-11,1.2648309003032907e-09,4.843087517762279e-10,2.1040691818497032e-10,1.1236982531210344e-09,1.226734264063634e-07,6.321747239189687e-08,5.977879755576315e-10,8.250517947102262e-10,9.349144031794912e-10,5.291863495004825e-10,5.145387379806291e-09,4.5098038973816676e-14,8.2613905887145e-10,0.009302324077254297,2.3702675944714784e-09,289.81864728885125
52ab65,6.333333333333409,24901.847417840378,9.336796344033907,68.91744460512817,6.121341175100557,9.035236952160691,6.691755956290093,0.001090840296537848,2.1541912924106062e-10,1.832260489464971e-08,8.789022468529233e-09,1.0190648892279264e-10,1.8178228955069478e-10,1.4099865939620347e-10,3.5033005402617253e-09,1.434700745076521e-09,1.376422511138631e-10,8.097421972782134e-11,9.620309786649465e-10,5.128679000117044e-10,2.5775504829239344e-10,7.217319355966377e-10,1.2805317518712156e-07,6.152847917142083e-08,2.748657131134782e-10,6.516447602642445e-10,6.396694001693355e-10,4.190748644924364e-10,4.436075414720489e-09,2.7772127695336358e-14,1.0082811039787591e-09,0.006723005277165053,1.5344711711569699e-09,284.58405962360433
52f310,5.5,34015.16161202185,16.96737507445585,65.24993339828066,9.583950367515042,7.120568806955591,6.085778330312886,1.462254112549376e-08,4.814623915810061e-11,4.03002746574398e-09,1.3662148417274669e-09,8.443588775242642e-10,1.5581959340732668e-09,1.7330671641485346e-09,5.172864461709971e-09,2.5723035048909847e-09,1.7356771779952886e-10,1.8460539743072765e-10,2.3539640966737683e-09,5.711887212707179e-10,3.445902662129225e-10,2.3149964122608843e-09,1.5152066014315736e-07,6.154730874963109e-08,5.58749202462709e-10,1.4288511790156234e-09,9.463900526215966e-10,1.0200724138254011e-09,6.433602124803743e-09,3.122294688271564e-14,1.4075731561946637e-09,0.009201869963296153,3.0914549262021528e-09,290.29639039420226
53ac3e,3.9166666666667425,33391.02227564102,7.636386615693175,77.71293966533177,3.4392792601059727,7.730820384031029,5.762545809620628,0.0,8.912647595833566e-11,7.566611142316576e-09,3.109833116265139e-09,1.2336598897159355e-10,2.2789702027802613e-10,2.157386587170397e-10,3.506789788476192e-09,1.6118403556116956e-09,1.3640907564100223e-10,1.0652072535779543e-10,7.254506857151426e-10,5.974240089428097e-10,6.744383035050684e-10,4.790599867261482e-10,1.3381723383872656e-07,5.4564285577568546e-08,2.2830765636795256e-10,1.0506049180714624e-09,5.659598580003722e-10,3.348748834479901e-10,5.064581722860154e-09,1.839274906961134e-14,1.3258726687404579e-09,0.005567496636015722,9.711605236972418e-10,281.0715405332731
53e727,3.8333333333332575,32192.210344827585,22.503001531377773,70.27765197329997,15.281859181369885,5.6684911195164585,7.534556242070098,1.299693954301207e-05,5.925612363743306e-11,4.817689089792674e-09,1.5062762412761723e-09,1.3674753344679125e-10,2.1982097056943075e-10,6.804662783584451e-11,1.7535284333735894e-08,1.299595131850422e-08,4.408138140681383e-10,8.139806723881574e-10,2.1238406941063507e-09,1.1433381600256393e-09,1.2383154988701273e-09,1.378380145550404e-08,2.6974598355787414e-07,4.006722193337481e-08,7.426144261556524e-10,3.6262392764295946e-09,8.74348040654602e-10,3.1529251219404184e-09,1.068069060067378e-08,3.745305382545776e-14,2.0326471847981425e-09,0.01153614803577513,8.931784572325416e-09,294.4155681618191
53fa23,7.5833333333332575,33026.761413043474,22.405074394783064,71.23894400965695,16.35794044978644,5.750069785721889,5.6455987432875965,0.0,3.3672499232903746e-11,2.7092147246211644e-09,7.838150091920198e-10,7.157694301146472e-10,1.3316818931073402e-09,1.5693274070851779e-09,7.340733038768703e-08,5.813252429756446e-08,1.8032164226536898e-09,4.045403826231875e-09,1.5575561059716656e-08,5.313137192218611e-09,2.376209917632895e-09,9.613459405003447e-09,1.0367028922419258e-06,3.776567137950112e-08,6.98327240802183e-10,4.921358585174276e-09,5.276280404054653e-09,4.6746599459595315e-08,3.9515479341042296e-08,4.321626177417082e-14,3.279118303152694e-09,0.013006931938976951,5.544644245504435e-08,293.9978120468175
540bd5,7.7499999999999245,7831.883333333334,28.39796079274248,80.41281765348053,24.39961475138305,5.537337716059497,6.050808177967694,0.0,4.3187912367409386e-11,3.442976849327828e-09,1.264762850696361e-09,2.0888910506290428e-10,3.3672446964633956e-10,9.168356903061044e-11,1.7327638316722148e-08,1.2424689690512853e-08,4.755611114828624e-10,9.33438958499335e-10,5.761322164782931e-09,1.0803261144017783e-09,4.5303153787539287e-10,8.200283968821765e-09,2.5863054704621264e-07,5.5204012318727314e-08,9.356439381309635e-10,3.468187098295379e-09,2.518216031632479e-09,2.259359381527913e-09,1.4280546190514389e-08,6.44642814138534e-14,2.035100063763203e-09,0.0183814621251215,1.2542428646664008e-08,299.73160576917235
543d48,6.333333333333409,33910.71873156342,15.982628465159376,73.2040461086206,10.67750742591895,7.213007439885069,5.96203911911284,6.116960331126371e-05,9.971158550046907e-11,8.398543421909961e-09,3.848135797237263e-09,6.482402361552757e-10,1.1982704908590088e-09,1.2579670900101034e-09,6.147032242116667e-09,3.4741850811525326e-09,2.026654815500128e-10,2.423676833217229e-10,1.5173129970355507e-09,5.977969407832213e-10,3.409306454510922e-10,1.851321872389485e-09,1.5889947947865704e-07,5.283502885610376e-08,4.859036207460975e-10,1.0819592476749064e-09,1.177879629546249e-09,1.9648635432743413e-09,9.20014351162624e-09,3.49295992430307e-14,1.0805019134740295e-09,0.008652572821985968,3.0824764504265245e-09,288.75016077730794
54ca10,4.4166666666667425,33943.5891025641,9.119952483550886,82.10871081082736,5.964846649273103,10.120216851709039,5.686291537329132,0.0,3.13791494302449e-10,2.676242360965175e-08,1.637221122108088e-08,1.7305726878931083e-10,3.247772594762332e-10,3.400434421782276e-10,2.7552194888502242e-09,1.0061438082554172e-09,1.1660532943490787e-10,6.861140624441183e-11,7.833886595343673e-10,5.034334707133497e-10,2.761342172911031e-10,1.2275966142745543e-10,1.22793238981965e-07,6.038110031257272e-08,2.1243328556394076e-10,4.381465357852232e-10,4.720384458348853e-10,2.1140486535009372e-10,3.3226925363555845e-09,1.8521231057881232e-14,8.533740037350575e-10,0.0061254577103241675,6.362300585782388e-10,282.5939704727903
552803,4.916666666666667,32870.51346153846,11.909792280281975,75.44768961504155,7.142579575442933,6.902949094620663,5.893241670075132,0.0,9.804414493026332e-11,8.295621500827173e-09,3.0553513985986413e-09,3.254441251846365e-10,6.220814535377676e-10,6.450034326133008e-10,5.593093369137299e-09,2.764637828080524e-09,1.9295714468384035e-10,1.6977904319666863e-10,1.0999502846708374e-09,5.186448882264357e-10,3.3153064457589734e-10,1.4525107593845252e-09,1.5170671102410116e-07,4.667139746111963e-08,2.85914276398875e-10,9.752495347106167e-10,7.14653749519055e-10,1.629440280995858e-09,1.0658021675928891e-08,2.5220618712656602e-14,1.1433452373415032e-09,0.006762205707392507,1.834698444040811e-09,284.72407062178814
553c0f,5.5,20641.302380952377,16.987437581861883,71.73717080928655,11.18139994082507,5.840524476945455,6.121367525164553,0.0,6.673804900382465e-11,5.57625451172403e-09,1.4228786797126053e-09,3.430285453641613e-10,6.711554124509043e-10,7.54291859394843e-10,5.6805695396151914e-09,2.204612220052806e-09,2.7933084626296614e-10,1.4279769160764619e-10,1.2059035957688058e-09,5.103466038982205e-10,2.1340347230785325e-10,1.926076601028716e-09,1.388933470149818e-07,6.252708040648096e-08,6.556743623151306e-10,1.2410208303160726e-09,9.67253650813631e-10,8.48551464324754e-10,8.345747767215272e-09,3.635510052582238e-14,1.421553669797285e-09,0.00898808296410383,1.09194192644002e-09,289.8326704684222
562123,5.666666666666591,33280.276402640266,8.57995745262403,78.22684075958614,4.522573793073368,8.152356931395293,5.7789989030825835,0.0,9.646927916902541e-11,8.189359860042311e-09,3.357570620787678e-09,1.3678893535214571e-10,2.5193114963203075e-10,2.431011700426781e-10,3.5319810492202627e-09,1.583143893557096e-09,1.3848988725111856e-10,1.0387416890352896e-10,7.570378887362815e-10,5.814626048019755e-10,6.151270110353582e-10,4.256558571489234e-10,1.32650801657109e-07,5.3925785364921716e-08,2.2961101855109182e-10,9.847604845847467e-10,5.437249731740179e-10,3.7045935324767107e-10,5.480179090036901e-09,1.984095737147771e-14,1.2421368285847036e-09,0.005868739190536592,1.0678935503819625e-09,281.7714130438393
564c90,6.0000000000000755,30883.090957446813,13.442238773431535,75.35977768316685,8.550200914444572,7.257946687116775,5.763373143928062,0.0,1.0623547264193513e-10,8.978712910127137e-09,3.8271109510021086e-09,4.5690168318345565e-10,8.581977322024784e-10,9.019390902775529e-10,6.037879654160021e-09,3.315598067375455e-09,1.7765042002374927e-10,1.6537757629771724e-10,1.2345874720829368e-09,5.779108864193851e-10,4.1169474805462554e-10,1.6798581160091103e-09,1.6168557034590524e-07,4.77313115886009e-08,3.351292601194194e-10,1.07575772934107e-09,8.715516402901537e-10,2.19300340898347e-09,1.0206200566947995e-08,2.775049391087669e-14,1.1583916403556956e-09,0.007332172328209075,1.943025388583407e-09,285.9513754266882
565994,5.916666666666667,28752.966666666667,17.342367567035673,72.89544410814432,11.998664143190135,7.419147482790711,6.054590332660179,0.0,9.11080485214497e-11,7.651516989237789e-09,3.9669280507915484e-09,5.496078442193321e-10,1.0380667353916776e-09,1.166713802475848e-09,4.262534250136337e-09,1.9893489144389054e-09,1.6636459526779593e-10,1.307127672702059e-10,1.5248893081021843e-09,5.288555488876748e-10,3.013295806772227e-10,2.3369479919152104e-09,1.423049229794879e-07,6.510555161085028e-08,6.288646839685089e-10,1.1376158373559514e-09,1.3501396006416907e-09,6.695555702994367e-10,7.170172757707323e-09,3.7578555456988477e-14,1.248557046355754e-09,0.009490402315068548,2.5147321313502857e-09,290.3589041006952
565f25,10.166666666666591,34144.45663716814,16.318159592526033,72.68478399426964,10.940251704307155,7.23045931471547,6.047856912154379,7.448868518250619e-05,9.45782570417685e-11,7.961883053769539e-09,3.6841848792288454e-09,6.135152431910713e-10,1.1685865047277203e-09,1.352656842474337e-09,5.380954304262196e-09,2.9642638810933005e-09,1.7762839016924875e-10,2.054017436564184e-10,1.4828830026147966e-09,5.512735194595937e-10,3.443453830822405e-10,2.0364505888556426e-09,1.5180725020023648e-07,5.289892754514818e-08,4.610180640462793e-10,1.1203191323054785e-09,1.1801852207483836e-09,1.8205836750201496e-09,9.487379359540602e-09,3.470516774891961e-14,1.1237119873615433e-09,0.008711149892389176,2.6768400042155246e-09,288.9322447549514
568b4f,5.4999999999999245,27447.994336569584,15.127792614795641,71.71969309380019,9.238488219792398,9.32151152854768,5.813769209496576,0.0,7.75440497483801e-11,6.4967185597805975e-09,2.850453856979128e-09,1.1701999410954281e-09,2.2489651480534112e-09,3.1804383424464643e-09,6.654048711476161e-09,3.6269733401221625e-09,1.7948291424220089e-10,1.638215049609019e-10,2.5136672799586575e-09,7.552355119179764e-10,1.0534390065660612e-09,1.7125403684924064e-09,1.678789220634685e-07,5.3889718763567516e-08,5.704986699570768e-10,1.6384287541943609e-09,1.1516784139116334e-09,2.315959656601512e-09,1.0702880648214854e-08,3.3169698898725724e-14,1.375716640046557e-09,0.007881210158040886,5.2757939084745175e-09,288.1692045332342
56942f,6.166666666666667,31416.831555555556,17.130965234090123,72.09274885681585,11.404805175901213,7.294608687030022,6.046520498012198,0.0,9.990539421541931e-11,8.385778990471447e-09,4.000697706861758e-09,8.081364409188773e-10,1.5180678479036533e-09,1.657138186135726e-09,4.321635723191337e-09,2.0154883540992684e-09,1.56163242907475e-10,1.3818733096331752e-10,1.4771702900232194e-09,4.917857444531921e-10,2.819820094451602e-10,2.5173821369852264e-09,1.3736262496375263e-07,5.9116245345196664e-08,5.69983036160877e-10,1.0914635867081497e-09,1.2382562344719464e-09,8.885253714175449e-10,7.089199419290983e-09,3.609539005697714e-14,1.1147281744448886e-09,0.009022590363753987,2.3013717448640186e-09,290.1957507356966
569aba,7.833333333333409,33542.23853046595,21.530928287017847,75.30090209743148,16.413148823948934,7.867547949008145,5.633322563457225,0.0,6.968643031212995e-11,5.723117383270249e-09,3.0544897281251225e-09,1.0732173796001782e-09,2.089599912354123e-09,2.9833063965342214e-09,4.832186278180028e-08,3.662086076714593e-08,1.3907351591811498e-09,2.9388510059881304e-09,1.4135016490425344e-08,3.89066258897906e-09,1.7437565514658268e-09,3.889139796708823e-09,7.099771516899263e-07,4.719084647337529e-08,8.531188096696454e-10,3.492080461269262e-09,6.212357379789446e-09,2.7511975646122814e-08,3.729301067331505e-08,4.195954997544662e-14,3.260238270983774e-09,0.01280308871119068,4.392154672770463e-08,293.8175757683699
56be25,9.500000000000076,32463.429326923077,12.214134350170196,75.39683580235638,7.412086158553118,7.058228314902293,5.924976832406779,0.0,9.441640245138553e-11,7.984003420247967e-09,2.8830024677063093e-09,2.847600766024999e-10,5.430219248230901e-10,5.481745170757113e-10,5.630179624791046e-09,2.81461559163872e-09,1.929313255945179e-10,1.773427984087148e-10,1.0533447012853713e-09,5.197782591961025e-10,3.1927924705125567e-10,1.5351837871314729e-09,1.530948612968725e-07,4.630216584011668e-08,2.901006410333889e-10,9.690895483873823e-10,7.378509096770603e-10,1.8038500468608177e-09,1.0939705843212262e-08,2.5290611514795836e-14,1.128985404143802e-09,0.0068716916531187215,1.4521927450462508e-09,285.004815959525
57572b,10.416666666666742,33093.63596491228,12.682133599877673,68.9786281121239,7.833527481505324,7.830302380723955,12.199850348440519,0.004008670881321382,5.605604927794124e-11,4.588083318944021e-09,1.766471508146567e-09,5.057505690153144e-10,8.988086989789435e-10,4.0614050111878583e-10,6.692771557744911e-09,3.757359023596741e-09,1.892597529344451e-10,1.6760013316398883e-10,1.5829377278091074e-09,5.741234128810546e-10,6.154244450278862e-10,2.0473887043670578e-09,1.5476542282707306e-07,5.222763888898123e-08,5.448720443826655e-10,1.5098887121802964e-09,8.347112819790686e-10,1.3629836011093736e-09,8.903763436720523e-09,3.6038752033315446e-14,1.2899361315764496e-09,0.009035841790940158,3.6193323586842467e-09,287.41781979995716
57e70f,5.5833333333332575,32606.132700421942,17.112982384815822,77.36197883357855,12.729861381834352,7.297688028114631,5.730843419536756,0.0,1.243251045079827e-10,1.0342705568675665e-08,5.579932602073183e-09,5.209431506448899e-10,9.646433557557972e-10,9.837977817036751e-10,7.583415594967821e-09,3.990918333972269e-09,3.307509875672476e-10,4.1571125150459267e-10,2.9689963635818925e-09,7.145022045211144e-10,5.138748428024827e-10,2.581622690118053e-09,1.6361326292680433e-07,6.135094481796286e-08,5.550411749408774e-10,1.6873255046302674e-09,1.1805953053443351e-09,1.9960060321606192e-09,1.1146334361567313e-08,4.1270280795666664e-14,1.76352425895351e-09,0.01058046097206512,6.179708554782289e-09,290.67949959549253
58607a,3.000000000000076,30474.542018779342,15.21057422131293,77.5088460189605,10.917904161445472,9.255817318917403,5.964736433826656,0.0,2.167296079998629e-10,1.8281057483339593e-08,8.526487398426872e-09,4.857418752802472e-11,1.0073303737561525e-10,1.5562837803952521e-10,1.7974200424211045e-09,1.026667847484504e-09,6.61670040320117e-11,8.75092353210167e-11,8.358403246810985e-10,3.089756878073633e-10,1.606987279169509e-10,4.981827658058366e-09,7.110405206977604e-08,4.2232365929944706e-08,2.639850236984422e-10,8.918171750205973e-10,1.6232791647040346e-10,7.08962854747296e-10,3.7550973741290015e-09,1.647034295458903e-14,5.823821427041579e-10,0.00829262385592297,1.3357777425407177e-09,288.14513568074045
5863fc,5.5833333333332575,31241.309356725145,11.836863629116422,75.13375301409796,6.8156743969956946,6.743472156552897,5.554965954585558,0.0,5.668555607814291e-11,4.787517908058087e-09,1.608336309561111e-09,3.664125673174355e-10,6.973008881071207e-10,7.42936884858643e-10,6.784003140654992e-09,3.8621822664422945e-09,1.7963755135988904e-10,1.716586145374508e-10,1.7088745285421378e-09,6.179112942947578e-10,8.823551932235889e-10,2.1860669045010304e-09,1.734823747290595e-07,4.353063381683048e-08,3.305322564961521e-10,1.5444724510048442e-09,7.141652345697325e-10,1.7498693171966871e-09,1.0386321577390994e-08,2.6774225796169464e-14,1.3775420183394408e-09,0.006751720417439657,4.640129718418203e-09,284.8623670592804
